Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,QGE613,QGE614,QGE615,QGE637,QGE638,QGE639,QGE661,QGE662,QGE663,QGE742,QGE743,QGE744,QGE760,QGE761,QGE762,QGE685,QGE686,QGE687,QGE621,QGE622,QGE623,QGE645,QGE646,QGE647,QGE669,QGE670,QGE671,QGE748,QGE749,QGE750,QGE766,QGE767,QGE768,QGE693,QGE694,QGE695
283.0070017,15,8,4,0,0,1,0,0,CHOS,ConHC,284.0142782,0.180362685,1,0,6742468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283.0094749,11,8,9,0,0,0,0,0,CHO,ConHC,284.0167514,0.283364969,2,168572592,79279552,82169504,129503304,136070144,75512704,51629368,50888856,79387496,91836936,46370668,49736256,53974124,103746712,97588336,35533388,73398608,58856080,52365196,93123424,30557860,63997220,112087848,71317448,54911012,83093344,69416808,87481048,49045856,52604592,87824552,82845632,102826976,63436944,70823672,85621304
283.0249345,0,0,0,0,0,0,0,0,,None,284.032211,0,0,883177152,849081792,956550784,761270336,886326272,900479872,719334720,804798592,794270528,877171200,632573760,847268352,962368576,1177832576,1306301568,637301312,934803776,903893632,375007104,607138624,257492640,781436160,721146624,873985984,754204672,732456768,805320512,755538624,762863936,725380736,1066670208,1156882304,1178338176,1037842560,1046753024,1146354176
283.02533,0,0,0,0,0,0,0,0,,None,284.0326065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57319320,0,0,0,0
283.0282689,0,0,0,0,0,0,0,0,,None,284.0355454,0,0,9682593,0,0,9502779,9124855,7115639.5,7615780,0,9853779,0,0,7105043.5,10253381,8838257,0,6746679.5,8268084.5,8876667,6948736.5,8426322,0,7847191,7058196,6735804,8814605,8652615,9858901,8919726,7352623.5,8998533,0,0,8072113.5,7768187,8160991,0
283.0289731,0,0,0,0,0,0,0,0,,None,284.0362496,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7314544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6622128,0,0,0
283.0345068,0,0,0,0,0,0,0,0,,None,284.0417832,0,1,9356958,0,0,0,10281973,0,0,0,8121163,0,0,0,0,6881379.5,7307320.5,0,0,0,0,6892366.5,0,0,6715150.5,0,0,7316287,0,0,0,0,0,0,0,6996083.5,0,0
283.0359645,14,8,5,2,0,0,0,0,CHON,ConHC,284.043241,0.283046944,1,133248672,131298736,148688528,98652216,114574328,126958448,91057432,110608512,105880392,120918480,112840496,126011904,115512376,150326368,159355952,90452528,104479016,99914352,70330232,98726736,69650072,99730704,92263184,115144632,99794944,84961088,102446920,110926496,110289176,105590384,122624104,121118592,126550944,114538608,112717528,134150680
283.0441678,0,0,0,0,0,0,0,0,,None,284.0514443,0,1,31299226,27293102,32542344,22409266,26735602,29731696,24136978,0,26495808,30732732,29314844,32180718,31880228,36146252,38097956,25973286,29464860,27021928,16902006,24859464,17389202,24843532,22332166,28874676,24875002,22406964,24766274,27474570,28983560,27889248,30546002,31956846,30774154,30251112,29466316,33470990
283.0459756,12,12,8,0,0,0,0,0,CHO,Tannin,284.053252,-0.122047866,1,467941024,193983920,184667776,514068544,366232576,146520944,151661840,122830960,311532352,142447040,106188568,103533032,142349344,140495952,132289568,69300768,102070552,103600744,123152248,326644544,70108816,179422480,257217280,132020144,136298496,171140912,156153664,309369472,147874048,265383520,189012048,180330352,180618112,124598376,134229712,132381200
283.0473724,0,0,0,0,0,0,0,0,,None,284.0546488,0,0,14530199,14630316,13655687,12394545,13087729,14306158,10001678,11380848,11313980,12198326,13303573,15088103,12352541,15760454,15135772,9155105,11284758,8888932,8826740,11864903,9938576,0,10560259,11145138,9426934,0,10670910,12900995,12085503,11298394,11581513,12848999,12569475,11872356,11286217,14080523
283.048763,0,0,0,0,0,0,0,0,,None,284.0560395,0,0,0,0,0,0,0,0,0,0,0,0,7730961.5,8053220,0,0,0,8514080,6969620,7127650.5,6979443,0,7859855.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283.0554842,0,0,0,0,0,0,0,0,,None,284.0627606,0,0,0,0,0,0,0,6589289,0,0,0,0,6885122,0,0,6801460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6608986,0,0
283.0572217,11,12,7,2,0,0,0,0,CHON,Lignin,284.0644982,-0.166935996,1,73627280,78280104,81645184,74289192,82314224,70548328,54922500,61980772,66100016,57725344,54300416,54610384,59806728,63835184,61010948,38015512,47880456,49091160,59352940,70071104,36963980,71927040,61002492,65075116,72712168,70854432,78313264,63445612,60350696,66629188,64198704,61013840,56329068,55408728,56676028,58956288
283.0611302,16,12,5,0,0,0,0,0,CHO,ConHC,284.0684067,0.235160197,1,137410192,152335776,155471488,133795880,139609072,146193248,147107072,146260064,150543152,176198032,165498608,175655360,193958912,182340640,199136256,171012624,184023296,192893520,135636848,138490688,106792584,151471360,133583608,152532912,157368288,148006688,149796656,163486304,174088416,185101888,182720544,174563152,178062176,166475856,175189696,173013504
283.0651758,0,0,0,0,0,0,0,0,,None,284.0724522,0,1,11384462,0,10632828,10164263,10894315,8448868,6386938,8464477,8518439,11063695,8314604,7942590,9749495,11121694,10247156,6593037,8016121.5,7959119,8550248,10840892,0,9903358,8418036,7688104,8312801,8955673,10557224,11096667,8722642,10038834,8938524,8673088,0,7936078.5,8754868,9359862
283.0683568,10,12,6,4,0,0,0,0,CHON,Lignin,284.0756333,0.179127671,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6502954.5,0,0,0,0,0,0
283.0724778,15,12,4,2,0,0,0,0,CHON,Lignin,284.0797543,-0.166900853,1,36542092,35648924,39628408,31551522,33940456,38640480,35753204,37003348,32877342,43028864,47754972,47663532,43217896,43420684,44291044,42619396,40466672,42668616,31836004,33788728,34457220,33015032,28041966,34281380,34955224,29964048,33904416,38902348,43507904,39185952,37623816,35987248,38191940,38606916,37506732,41081324
283.080671,0,0,0,0,0,0,0,0,,None,284.0879475,0,0,0,0,0,0,0,0,7343337,0,6568725,0,9101001,8124826.5,6835158.5,7038971,6536145,8434171,8556769,7832124.5,6180702,0,6338174.5,0,0,6481823.5,6627279,0,0,7262776.5,8235179,7486991,0,0,0,6803515.5,0,0
283.0823974,13,16,7,0,0,0,0,0,CHO,Lignin,284.0896739,-0.250009922,1,108639880,89011608,82087536,130912288,124896232,81886040,89550056,78266440,114301712,105812328,94588616,85264792,106763216,93506552,99341264,86471160,91273440,105239096,105031520,113062704,58771068,101369072,107008744,82474912,96419792,106129152,107788048,120232504,91807912,113274376,95164400,89251608,95044400,90306616,96710304,91503072
283.0934558,0,0,0,0,0,0,0,0,,None,284.1007323,0,0,56317568,58291600,58027628,63975448,68928480,57473876,55946460,56090684,62061316,51360080,60067500,53856636,66884540,61533148,65377204,52441580,52771020,62263852,59991892,64115500,41535096,55846124,52064988,51959704,59523008,56682232,58038024,64035356,59572364,67628528,56154068,58056448,48734992,55072812,57790100,55146964
